实体,出现次数
acpi,81
register,80
domain,80
action,80
allocator,80
remoteproc,80
report,80
group,79
pmbus,79
camera,79
i.MX,79
mailbox,79
pinctrl driver,79
debugging,78
backlight,78
class,78
sockets,78
users,77
filesystem,77
ioctls,77
ring,77
ipv6,77
misc,76
Realtek,76
trigger,76
name,76
subsystem,76
supply,76
patch,76
chipset,76
libbpf,76
formats,76
Hyper-V,76
qla2xxx,76
hwmon,75
mmap,75
SELinux,75
machine driver,74
input,74
probe,74
Mediatek,74
script,74
memcg,74
applications,74
device id,74
codecs,74
timeout,73
traffic,73
queues,73
request,73
tables,72
series,72
audit,72
command line,72
nodes,72
discard,72
SCTP,72
microchip,71
swap,71
keyboard,71
i40e,70
instructions,70
async,70
Dell,70
disk,70
migration,70
video,70
processors,70
accounting,70
header,69
sensors,69
ASUS,69
registers,69
frame,69
legacy,68
metrics,68
range,68
namespace,68
typec,68
sun4i,68
DVB-T,68
Blackfin,68
channels,67
Rockchip,67
gadget,67
nvmem,67
Apple,67
exynos,67
emulation,67
interconnect,67
power supply,67
record,67
Memory,66
count,66
bpftool,66
update,66
cxgb4,66
extension,65
test,65
sdhci,65
messages,65
matching,65
64 bit,65
modem,65
offloading,65
32 bit,65
samsung,64
helper,64
CONFIG,64
tracking,64
addresses,64
architecture,64
changes,63
UART,63
battery,63
perf record,63
priority,63
initial support,63
requests,63
fault,63
perf tools,63
injection,62
qmi_wwan,61
amdkfd,61
limit,61
writes,61
sync,61
notification,61
polling,61
remote,61
controls,61
adapter,61
OCFS2,61
mv88e6xxx,61
PowerPC,61
rtw88,60
param,60
load,60
topology,60
objects,60
frames,60
level,60
hisilicon,60
engine,60
algorithms,60
Freescale,60
buffers,59
Microchip,59
guests,59
usage,59
tablet,59
MediaTek,59
match,59
recovery,59
perf stat,59
namespaces,58
device IDs,58
monitor,58
Cortex,58
dwc3,58
EXT4,58
x86_64,58
tasks,58
asus,57
settings,57
aspeed,57
timestamp,57
program,57
interrupts,57
fbdev,57
pressure,57
logging,57
encryption,56
query,56
transport,56
struct,56
perf script,56
nouveau,56
IOMMU,56
setting,56
socket option,56
Device tree,56
ext4,56
filters,55
wakeup,55
mounts,55
extent,55
light,55
RISCV,55
extensions,55
Tegra,55
property,55
driver support,55
thread,55
routing,55
ppc64,55
SPARC,55
bits,54
bonding,54
optimizations,54
folios,54
decoder,54
Memory management,54
voltage,54
loopback,54
value,54
perf report,54
connection,54
clocksource,54
maps,53
slab,53
STM32,53
device driver,53
scalability,53
revision,53
/proc,53
Offload,53
r8169,52
monitoring,52
profile,52
folio,52
Xilinx,52
errors,52
variants,52
writeback,52
mappings,52
offloads,52
Hauppauge,52
tool,51
FEATURED,51
processes,51
Perf,51
task scheduler,51
delay,51
tuner,51
clock driver,51
instruction,51
bandwidth,51
Boards,51
at91,51
mt7915,51
rules,51
brcmfmac,51
message,51
master,50
xilinx,50
powerpc,50
storage,50
processing,50
quota,50
vendor events,50
stream,50
eBPF,50
libata,50
helpers,49
scaling,49
flush,49
sysfs interface,49
commit,49
values,49
threads,49
s390,49
limits,49
blocks,49
sunxi,49
properties,49
plane,49
charger,49
atmel,49
smartpqi,49
IA64,49
article,49
sysfs attribute,48
scheduling,48
rawnand,48
user-space,48
NVMe,48
selection,48
marvell,48
connector,48
powercap,48
root,48
APIs,48
kernel parameter,48
Armada,48
slave,48
Aspeed,48
MIPI,47
laptop,47
call,47
openvswitch,47
signal,47
hugetlb,47
reference,47
application,47
router,47
LEDs,47
lpfc,47
poll,47
kbuild,47
syscalls,47
GFS2,47
handler,46
zone,46
netdev,46
overhead,46
Rust,46
workloads,46
multi,46
cores,46
notifications,46
image,46
Snapdragon,46
object,46
offset,46
fpga,46
machine support,46
framebuffer,46
x86-64,46
hypervisor,45
perf trace,45
turbostat,45
Sony,45
packet scheduler,45
EDAC,45
clock support,44
leds,44
random,44
trees,44
vfio,44
ftdi_sio,44
ixgbe,44
release,44
RAID,44
removal,44
ppc32,44
sysfs entry,43
Acer,43
multiple,43
coresight,43
IPV6,43
resource,43
arch,43
Device tree sources,43
domains,42
logic,42
Kconfig,42
nand,42
clock controller,42
hooks,42
models,42
change,42
ahci,42
tunnels,42
protection,42
Alder Lake,42
Atmel,42
OMAP,42
timestamping,41
library,41
inodes,41
IPsec,41
cfg80211,41
graph,41
throughput,41
contention,41
jack,41
actions,41
capture,41
line,41
filesystems,41
Power,41
route,41
pixel,41
chrome,41
ingenic,41
radeon,41
pool,40
panels,40
acceleration,40
amlogic,40
regions,40
groups,40
kexec,40
regulators,40
xhci,40
button,40
nftables,40
hdmi,40
endpoint,39
timers,39
Display,39
Lake,39
conversion,39
calls,39
FUSE,39
extcon,39
Telit,39
steering,39
multipath,39
manager,39
optimization,39
versions,39
nf_tables,39
PHYs,39
selinux,39
System,39
Toshiba,39
Skylake,39
dpaa2,39
Quectel,38
conntrack,38
descriptor,38
ROHM,38
octeontx2-af,38
Logitech,38
NAPI,38
tablets,38
vxlan,38
wil6210,38
lookup,37
Switch,37
bytes,37
backend,37
window,37
testing,37
headset,37
mount options,37
discovery,37
Asus,37
soundwire,37
kernels,37
ipv4,37
mesh,37
Maxim,37
ptrace,37
POSIX,37
resolution,36
uncore,36
Chip,36
hook,36
reclaim,36
loop,36
xattr,36
tracer,36
cipher,36
Ext4,36
oprofile,36
adapters,35
IEEE,35
KASAN,35
EROFS,35
spinand,35
chipsets,35
laptops,35
platform support,35
remote control,35
System on Chip,35
development board,35
callback,35
multiqueue,35
kprobes,35
sun6i,35
benchmark,35
radio,35
hda/realtek,34
suspend/resume,34
sizes,34
intel_pstate,34
config option,34
mptcp,34
tuning,34
shmem,34
IOCTL,34
scripts,34
ACPI ID,34
creation,34
boot option,34
send,34
shared,34
Microsoft,34
build,34
array,34
file system,34
BPF programs,34
davinci,34
timestamps,33
label,33
region,33
headers,33
annotate,33
numa,33
work,33
pcie,33
enhancements,33
ability,33
quirk,33
signature,33
station,33
allocations,33
perf vendor events,33
regulator support,33
Mellanox,33
lan966x,33
readahead,33
aggregation,32
ath12k,32
EEPROM,32
xfrm,32
connections,32
copy,32
USB3,32
color,32
page table,32
hibernation,32
devicetree,32
Book3S,32
split,32
amplifier,32
omap,32
generation,32
rapl,32
CEPH,32
directories,32
workload,32
Meson,32
i.MX8,32
locks,32
per-cpu,32
eeprom,32
rcar,32
flushing,32
partition,32
AP mode,32
mt7615,32
caches,32
reading,32
alpha,32
extents,32
ocelot,32
encoder,32
uniphier,32
sunxi-ng,32
Loongson,31
layout,31
reads,31
physical layer,31
links,31
depth,31
dumping,31
i801,31
v4l2,31
mt7921,31
switches,31
knob,31
android,31
Core,31
configfs,31
cp210x,31
development,31
encapsulation,31
platform driver,31
rcar-du,31
pipe,31
transaction,31
mscc,31
st_lsm6dsx,31
uevent,31
mvebu,31
CPUFREQ,31
Tiger Lake,31
TIPC,31
Comet Lake,31
sh-pfc,31
32/64 bit,31
Device-Tree Sources,31
binding,30
Android,30
branch,30
parallel,30
SMBus,30
receive,30
inline,30
touchpad,30
index,30
firewire,30
Platform,30
improvement,30
sampling,30
ASoC codecs,30
sound,30
mvpp2,30
nl80211,30
binary,30
AHCI,30
interval,30
SDIO,30
governor,30
fsync,30
dpaa2-eth,30
caam,30
Sharp,30
Spreadtrum,30
Device trees,30
loading,29
module param,29
system call,29
policies,29
integrity,29
deprecated,29
General Purpose I/O,29
eMMC,29
cpus,29
compatibility,29
intel_th,29
volume,29
e1000e,29
temperature sensor,29
pin controller,29
RoCE,29
authentication,29
numbers,29
compressed,29
scanning,29
earlycon,29
switching,29
architectures,29
documentation,29
PCMCIA,29
ingress,29
megaraid_sas,29
DVB-S,29
SPARC64,29
NETFILTER,29
audio support,28
vdpa,28
ionic,28
bind,28
interrupt controller,28
SCMI,28
Plus,28
Surface,28
reset controller,28
profiling,28
perf annotate,28
area,28
percpu,28
broadcast,28
Cadence,28
wacom,28
RZ/G2L,28
SR-IOV,28
Rockchips,28
egress,28
debugfs support,28
labels,28
em28xx,28
apple,28
Cirrus Logic,28
coredump,28
rates,28
lock contention,28
sleep,28
mdio,28
sun8i,28
Port,28
i.MX6,28
utilization,28
mask,28
sctp,28
seccomp,28
routes,28
FPGA,28
analog,28
cgroups,28
qede,28
Device Mapper,28
PATA,28
Device Tree Source,28
unicast,27
patches,27
setup,27
panic,27
LVDS,27
Patches,27
PARISC,27
virtualization,27
Nuvoton,27
boost,27
calibration,27
pl2303,27
octeontx2,27
graphics,27
panel driver,27
i386,27
in-kernel,27
Exynos,27
networking,27
regulator driver,27
verification,27
Real Time Clock,27
product,27
XDP support,27
ranges,27
devfreq,27
pause,27
SGMII,27
qcom-qmp,27
phone,27
symbol,27
behavior,27
qdisc,27
throttling,27
tmpfs,27
codec driver,27
NVIDIA,27
flow control,27
names,27
Ice Lake,27
host controller,27
servers,27
Tegra210,27
Tegra186,27
Ceph,27
qeth,27
xpad,26
fragmentation,26
MAC address,26
panel support,26
socinfo,26
Raspberry Pi,26
AST2600,26
balancing,26
page size,26
Task,26
hugepage,26
boot time,26
cadence,26
Power Management,26
tests,26
states,26
resources,26
mute,26
block device,26
lockless,26
intel_rapl,26
touchscreen_dmi,26
SC7180,26
uapi,26
method,26
speaker,26
blk-mq,26
watchdog driver,26
bluetooth,26
Audio,26
maximum,26
length,26
Texas Instruments,26
kdump,26
Netlink,26
RK3399,26
caching,26
address space,26
block layer,26
netpoll,26
perf probe,26
mixer,25
rtl8xxxu,25
classifier,25
keyring,25
ARCH,25
dumps,25
Module,25
batch,25
receiver,25
intel-lpss,25
aquantia,25
cluster,25
basic support,25
freescale,25
threshold,25
venus,25
Block,25
vmalloc,25
checksums,25
faults,25
uring,25
tracepoints,25
select,25
cifs,25
parent,25
zcrypt,25
phones,25
sysfs file,25
nct6775,25
configuring,25
superblock,25
bitmap,25
partitions,25
MPLS,25
drop,25
broadcom,25
service,25
completion,25
cpuidle,25
targets,25
page cache,25
Clock,25
keymap,25
behaviour,25
Hardware,25
inside-secure,25
perf events,25
facility,25
qtnfmac,25
r8152,24
btrtl,24
vector,24
thinkpad_acpi,24
uprobe,24
zswap,24
structure,24
JSON,24
file descriptor,24
coalescing,24
provider,24
macb,24
debugfs interface,24
failure,24
dirty,24
zynqmp,24
Google,24
generator,24
Meteor Lake,24
camera sensor,24
device ids,24
stacks,24
Kernel,24
error injection,24
enablement,24
symbols,24
zoned,24
k10temp,24
initialization,24
uart,24
logitech-hidpp,24
segmentation,24
instances,24
base,24
validation,24
Packet,24
futex,24
char,24
CODEC,24
decoding,24
Synopsys,24
pcmcia,24
frontend,24
affinity,24
mpt3sas,24
dma-buf,24
geneve,24
RTC driver,24
reiserfs,24
UBIFS,24
Tegra194,24
dts file,24
raid,24
Smack,24
AVR32,24
rfkill,23
barrier,23
asus-wmi,23
Lunar Lake,23
browser,23
zram,23
axp20x,23
lane,23
transmit,23
isolation,23
Performance,23
fuse,23
init,23
Userspace,23
sparx5,23
MDIO,23
vmwgfx,23
RAPL,23
overflow,23
userfaultfd,23
sysctls,23
configurations,23
magnetometer,23
MT8195,23
mac80211_hwsim,23
hierarchy,23
force,23
serial flash,23
cursor,23
netns,23
MSI-X,23
thinkpad,23
embedded,23
unit,23
page tables,23
probing,23
Express,23
thermal driver,23
USB ID,23
hisi_sas,23
spinlock,23
snapshot,23
peer,23
AC97,23
Thunderbolt,23
sata,23
Distributed Switch Architecture,23
demodulator,23
ext3,23
detect,22
cleanup,22
Sparx5,22
link speed,22
Interface,22
fdinfo,22
Panel,22
implementations,22
vDSO,22
Tegra234,22
Updates,22
balloon,22
alloc,22
performance improvements,22
shutdown,22
fallocate,22
printk,22
hwrng,22
LED driver,22
regmap,22
Tablet,22
cable,22
nvmet,22
sample,22
perf top,22
PMICs,22
Serial Peripheral Interface,22
reboot,22
UUID,22
wake,22
FIFO,22
switchdev,22
atomisp,22
session,22
compaction,22
OVERLAYFS,22
runtime PM,22
nexthop,22
rotation,22
sof_sdw,22
SM8350,22
MT8183,22
xmit,22
nested,22
f2fs,22
alarm,22
Elkhart Lake,22
variables,22
Linksys,22
Gemini,22
exit,22
pxa2xx,22
Ocelot,22
libnvdimm,22
destination,22
IPoIB,22
Architecture,22
SuperH,22
touch,21
definitions,21
mwifiex,21
mlx4,21
display support,21
rust,21
DSCP,21
passthrough,21
handlers,21
parsing,21
virtio_net,21
debugfs entry,21
argument,21
huge pages,21
Xiaomi,21
Pulse-Width Modulation,21
scmi,21
pins,21
version 2,21
health,21
beacon,21
loader,21
tools/power turbostat,21
fence,21
Type-C,21
kprobe,21
madvise,21
MSI support,21
flows,21
iomap,21
order,21
tags,21
disabling,21
epoll,21
sysfs node,21
GPIOs,21
hugepages,21
komeda,21
splice,21
Richtek,21
D-Link,21
huge page,21
sprd,21
SM8250,21
device support,21
lan743x,21
hinic,21
Raptor Lake,21
zstd,21
Icelake,21
sysfs attributes,21
omapdrm,21
mvneta,21
autosuspend,21
mt8183,21
tunneling,21
composition,20
string,20
screen,20
Thinkpad,20
buttons,20
carrier,20
probes,20
prctl,20
pointer,20
arguments,20
tracepoint,20
cpuset,20
Firmware,20
cleanups,20
diag,20
mpi3mr,20
mipi,20
stub,20
hardware monitoring,20
configure,20
wwan,20
Mode,20
arm_scmi,20
rt5682,20
ACPI support,20
netdevsim,20
command line option,20
fallback,20
checksum offload,20
repair,20
online,20
point,20
bus driver,20
pstate,20
SoundWire,20
hwsim,20
bnx2x,20
fast,20
dtsi,20
getsockopt,20
block devices,20
idxd,20
chemical,20
page fault,20
batman-adv,20
fork,20
fanotify,20
vkms,20
procfs,20
rcar-vin,20
Bridge,20
congestion,20
softirq,20
DCCP,20
Management,20
enetc,20
userland,20
bcm2835,20
computer,20
sockopt,20
byte,20
structures,20
alias,20
module option,20
ath9k,20
Device mapper,20
suspend/resume support,20
hfi1,20
cx23885,20
Terratec,20
Radeon,20
DViCO,20
Queue,19
Windows,19
bugs,19
knobs,19
period,19
zero,19
cmdline,19
shadow,19
batching,19
slub,19
WCN6855,19
panfrost,19
single-board,19
SM8550,19
SDM845,19
statx,19
communication,19
chain,19
dock,19
coalesce,19
sequence,19
forwarding,19
ZynqMP,19
registration,19
vDPA,19
side,19
coda,19
transfer,19
SM8450,19
intel_idle,19
NEON,19
rule,19
strength,19
modification,19
it87,19
mouse,19
addr,19
transceiver,19
dummy,19
Nvidia,19
uvcvideo,19
Keyboard,19
hashing,19
callbacks,19
hci_bcm,19
Broadwell,19
i.MX8M,19
lookups,19
generic support,19
specification,19
Storage,19
compat,19
prestera,19
Winbond,19
ipset,19
hantro,19
rk3399,19
labeling,19
SM8150,19
Source,19
saa7134,19
ac97,19
elan_i2c,19
framebuffer driver,19
core support,19
DVB-S2,19
FusionHDTV,19
elements,18
iavf,18
CPUID,18
Sierra,18
baseboard,18
i.MX93,18
ep93xx,18
binaries,18
items,18
workqueue,18
lockdep,18
Gen4,18
Watchdog,18
overlay,18
keyboards,18
virtio-net,18
AF_XDP,18
boot parameter,18
mitigation,18
Motorola,18
Mini,18
Radxa,18
Regulator,18
synchronization,18
reservation,18
aquacomputer_d5next,18
micrel,18
descriptors,18
interconnect provider,18
designware,18
Adapter,18
i.MX8MP,18
hyperv,18
evaluation,18
element,18
clone,18
parport,18
reader,18
watchdog timer,18
dmaengine,18
phylink,18
daemon,18
obsolete,18
scsi_debug,18
iSCSI,18
rtnetlink,18
retry,18
rdma,18
sysfs support,18
trap,18
secure,18
Clang,18
background,18
clients,18
emu10k1,18
samples,18
linux,18
vhost,18
caps,18
contexts,18
digital,18
intel-pt,18
classes,18
nfp flower,18
cycles,18
Folios,18
btrfs,18
Flash,18
raid6,18
hardware offload,18
AT91,18
barriers,18
spinlocks,18
NFSv4,18
MT7622,18
ratio,18
PREEMPT,18
control group,18
vmbus,18
powerplay,18
Davinci,18
Distributed,18
Avermedia,18
Cavium,18
blackfin,18
Apparmor,18
OMAP3,18
Alsa,18
AGPGART,18
PKT_SCHED,18
coex,17
SC7280,17
HiSilicon,17
encap,17
execution,17
histogram,17
ring buffer,17
timeouts,17
humidity,17
HID multitouch,17
intel-ish-hid,17
synaptics,17
products,17
classification,17
network driver,17
etnaviv,17
services,17
DEBUG,17
Book3S HV,17
surface,17
power domain,17
Xperia,17
reset driver,17
attach,17
I2C controller,17
memory management,17
consumption,17
PIDs,17
pattern,17
logitech,17
Thermal,17
measurement,17
hotkey,17
cs35l41,17
congestion control,17
save,17
submission,17
uAPI,17
prog,17
ICMP,17
debugfs file,17
pci_generic,17
rpmh,17
brcmstb,17
qcom_spmi,17
Link,17
setsockopt,17
perf.data,17
initrd,17
asymmetric,17
drive,17
ASIC,17
IXP4xx,17
xattrs,17
checker,17
alignment,17
r8a7795,17
Reset,17
PCIE,17
owner,17
hugetlbfs,17
serial driver,17
VCAP,17
push,17
displays,17
powernv,17
reference board,17
Actions Semi,17
Event,17
Scheduler,17
MAC80211,17
WWAN,17
raid5,17
sdio,17
jz4740,17
module parameters,17
A83T,17
VFIO,17
symlink,17
SMB3,17
kunit,17
trusted,17
64bit,17
slot,17
iWARP,17
signals,17
Cannon Lake,17
tango,17
comedi,17
zones,17
ATSC,17
Power9,17
base support,17
thunderx,17
Tree Source,17
RCU locking,17
Rapids,16
hybrid,16
Laptop,16
Network,16
damon,16
stall,16
protocols,16
winbond,16
proximity,16
USB4,16
band,16
CPPC,16
backlight driver,16
QCOM,16
memory hotplug,16
pca953x,16
pmic,16
dwc2,16
Error,16
JPEG,16
speedup,16
SRIOV,16
hint,16
trace events,16
HDCP,16
energy,16
x86-android-tablets,16
linear,16
ipvs,16
bench,16
disks,16
scrub,16
balance,16
firewire-motu,16
link modes,16
HS400,16
BCM2711,16
at803x,16
planes,16
apparmor,16
shmobile,16
ASPM,16
VXLAN,16
use cases,16
UEFI,16
vt-d,16
rpmsg,16
randomization,16
compiler,16
platform chrome,16
pci id,16
store,16
failures,16
vivid,16
stateless,16
X1000,16
tagging,16
meta,16
vmlinux,16
Documentation,16
Quad,16
representors,16
Cortex-A53,16
Packet scheduler,16
macvlan,16
readdir,16
rings,16
USB2,16
Server,16
expression,16
zerocopy,16
lists,16
ixp4xx,16
levels,16
sets,16
PPC32,16
INFO,16
subdriver,16
kernel module,16
i.MX8MQ,16
device mapper,16
mounting,16
qoriq,16
Jasper Lake,16
AEAD,16
Intel Comet Lake,16
callchain,16
ccree,16
cavium,16
x86-32,16
Process scheduler,16
bnxt_re,15
Energy,15
engines,15
riscv,15
LOONGARCH,15
Arrow Lake,15
capacity,15
ThinkPad,15
translation,15
Facebook,15
blob,15
verity,15
burst,15
vmstat,15
BCACHEFS,15
pinctrl support,15
onboard,15
Host,15
querying,15
mana,15
preemption,15
override,15
single-board computers,15
imx8mm,15
ChromeOS,15
asus-ec-sensors,15
bootloader,15
headset mic,15
rtlwifi,15
location,15
realtime,15
journal,15
nolibc,15
doorbell,15
throttle,15
mirroring,15
mark,15
hotkeys,15
crash,15
allwinner,15
scenarios,15
bindings,15
cookie,15
discard support,15
granularity,15
decompression,15
qualcomm,15
silicon,15
remove,15
Leadtek,15
entropy,15
IPSec,15
python,15
section,15
smmu,15
g12a,15
sof_rt5682,15
memory controller,15
chunk,15
verifier,15
writing,15
thresholds,15
kasan,15
chunks,15
error handling,15
role,15
rt2x00,15
speculation,15
netconsole,15
analysis,15
block group,15
feedback,15
PCI Express,15
smaps,15
PCI device,15
compress,15
RGMII,15
i.MX8MM,15
SDX55,15
O_DIRECT,15
records,15
ftdi,15
wcn36xx,15
hisi,15
kconfig,15
Gen3,15
interrupt support,15
rsnd,15
PTP support,15
pata,15
gigabyte,15
design,15
kernel command line,15
counts,15
fiemap,15
register dump,15
modesetting,15
params,15
SLUB,15
cx88,15
altera,15
M68K,15
Cinterion,15
promiscuous mode,15
activity,15
Power management,15
btbcm,15
hmac,15
i2c driver,15
MMIO,15
radix,15
triggers,15
intel-spi,15
ethtool support,15
8250_pci,15
Amazon,15
Microsemi,15
Hisilicon,15
soc_camera,15
ia64,15
power save,15
tipc,15
Philips,15
liquidio,15
nfit,15
i40evf,15
OMAP2,15
Chromebook,14
Galaxy,14
MIDI,14
mt7530,14
ibmvnic,14
panel-edp,14
MT8186,14
experimental,14
efficiency,14
Engine,14
Kontron,14
zero-copy,14
annotation,14
block size,14
blocking,14
RK3588,14
usb2,14
imx6,14
keypad,14
Analog Devices,14
compositions,14
octeontx2-pf,14
MT8188,14
debug option,14
KASLR,14
trampoline,14
j721e,14
NXP i.MX,14
imx8mp,14
Foxconn,14
JH7110,14
Input,14
rzg2l,14
lpass,14
rework,14
aquacomputer,14
d5next,14
MT7921,14
component,14
GPUs,14
Toradex,14
Interrupt,14
uprobes,14
progs,14
pointers,14
DisplayPort,14
accelerometer,14
EHCI,14
MOTU,14
strings,14
octeon,14
objtool,14
mapper,14
deletion,14
rename,14
sort,14
mt8188,14
fault injection,14
GPIO support,14
pinmux,14
qcom-rpmh,14
ipc4,14
Headset,14
link state,14
Dump,14
memory usage,14
driver core,14
fragment,14
instrumentation,14
USB devices,14
bulk,14
sc7180,14
hints,14
unix,14
r8a7796,14
quad,14
touchscreens,14
nommu,14
BIOS,14
toshiba,14
taprio,14
restrictions,14
sharing,14
kmalloc,14
rewrite,14
symlinks,14
antenna,14
usbnet,14
tsens,14
core driver,14
Gateworks,14
OMAP4,14
IPVS,14
attr,14
mt8195,14
veth,14
Cortex-A7,14
null_blk,14
images,14
SM6350,14
sony,14
gigabyte-wmi,14
cros_ec,14
802.15.4,14
restore,14
rate control,14
sparse,14
hyper-v,14
sc7280,14
XFRM,14
ipmi,14
data structures,14
posix,14
AT91RM9200,14
Sierra Wireless,14
assembler,14
segments,14
KEYS,14
cpg-mssr,14
hv_netvsc,14
sja1105,14
evaluation board,14
heuristics,14
GPIO controller,14
rwsem,14
sdhci-pci,14
POWER9,14
serial option,14
environment,14
moderation,14
etm4x,14
socfpga,14
kernel modules,14
PCH-H,14
IBSS,14
GRO support,14
Sound Open Firmware,14
iptables,14
diff,14
85xx,14
ice1724,14
zd1211rw,14
mac address,13
patchset,13
starfive,13
database,13
profiles,13
freq,13
X1E80100,13
permissions,13
counting,13
charging,13
slabs,13
checkpoint,13
ADSP,13
SDHCI,13
cycle,13
Timer,13
Processor,13
details,13
Hotplug,13
pseries,13
Virtualization,13
plugin,13
Yoga,13
J721E,13
SM8650,13
sorting,13
sysfs entries,13
Octeon,13
dell-smm,13
audio codec,13
file systems,13
IRQs,13
live migration,13
Infineon,13
quirks,13
pincontrol,13
Epson,13
sc8280xp,13
spectrum,13
LED support,13
Colibri,13
networks,13
text,13
interconnect provider driver,13
volumes,13
WiFi,13
Mobile,13
armada,13
eventfd,13
traces,13
Cache,13
perf bench,13
Control,13
host driver,13
spmi,13
amd64,13
USB3 PHY,13
NPCM,13
jumbo,13
segmentation offload,13
intel_pmc_core,13
UAPI,13
ieee802154,13
overlayfs,13
admin,13
fscache,13
RZ/V2M,13
feature flag,13
mremap,13
Sapphire Rapids,13
MT7986,13
reports,13
extended,13
webcam,13
goodix,13
playback,13
windows,13
tcmu,13
wait,13
description,13
pm-graph,13
Devicetree,13
GPIO driver,13
mellanox,13
Netgear,13
identifier,13
Sunplus,13
Data,13
NICs,13
diagnostics,13
percentage,13
pixel formats,13
parser,13
on-chip,13
imx7,13
accelerator,13
timing,13
mobile,13
L2CAP,13
slimbus,13
gpiolib,13
Extensions,13
user mode,13
perf list,13
sama5d2,13
vsp1,13
persistent,13
JZ4760,13
load balancing,13
completions,13
802.1ad,13
single-board computer,13
phy driver,13
seconds,13
inv_mpu6050,13
REDIRECT,13
SUNRPC,13
HDMI audio,13
Keem Bay,13
bcmgenet,13
bridges,13
lightnvm,13
persistent memory,13
kmem,13
Intel Tiger Lake,13
iproc,13
xmon,13
page allocator,13
sirf,13
Segmentation,13
Fujitsu,13
unprivileged users,13
atlas,13
PCIe controller,13
imx6ul,13
hosts,13
32bit,13
Cinergy,13
connection tracking,13
Audit,13
Microblaze,13
cell,13
forcedeth,13
mips,13
Altera,13
IPSEC,13
edac,13
Gemini Lake,13
IPV4,13
Netlabel,13
Pinnacle,13
chip driver,13
e1000,13
class support,13
USB Storage,13
Fibocom,12
MIPI-DSI,12
adreno,12
charge,12
token,12
