feature_id,feature_description,version
707,VIA82xx: add the DXS entry for Mitac/Vobis/Yakumo laptop.,2.6.9
4073,zd1211rw: monitor all packets  add ID for Sitecom WL-162  add ID for ZyXEL M-202 XtremeMIMO  add USB id for Telegent TG54USB WLAN adapter  add ID for Talktalk SNU5630NS/05,2.6.24
15210,rt2800usb: remove watchdog,4.11
16267,device mapper Add the ability to use select or poll /dev/mapper/control to wait for events from multiple DM devices,4.13
23292,memory control group On cgroup removal reparent slab memory to the parent cgroup; lack of this funcionality was preventing dying cgroups from being reclaimed,5.3
14781,phy: stih41x-usb: Remove usb phy driver and dt binding,4.10
41702,BPF register bounds logic and testing improvements,6.8
20371,can ucan: add driver for Theobroma Systems UCAN devices,4.19
38077,lan966x Enable PTP on bridge interfaces,6.2
22236,ibmvnic: Enable GRO,5.1
1542,ALSA: Add Mono volume controls for ALC260,2.6.12
24060,Sound Open Firmware imx: Add i.MX8 HW support,5.4
44356,adt7475: duty cycle configuration,6.12
10969,Adds an optional ce_threshold to codel & fq_codel qdiscs so that DCTCP can have feedback from queuing in the host,4.2
19355,remove blackfin related host drivers,4.17
7631,Ext3: Support for vfsv1 quota format,2.6.33
21411,Add platform/firmware keys support for kernel verification by IMA,5.0
9644,Add a new driver to support host initiated backup,3.10
19195,mlx5e Add interface down dropped packets statistics,4.17
21899,i3c: master: Add driver for Synopsys  IP,5.0
11018,libnvdimm Allow to map persistent memory i.e. advertise it to the memory management sub-system. By default persistent memory does not support direct I/O RDMA or any other usage that requires a 'struct page' to mediate an I/O request. This driver allocates and initializes the  infrastructure needed to support those use cases,4.3
32185,rsi: Add support for changing beacon interval,5.14
15608,Device Tree Source gemini: DT for the Cortina Gemini SoC platforms,4.12
42657,efi/libstub: Fall back to CC proto for measurement,6.9
43035,OCFS2 Improve write IO performance when fragmentation is high,6.10
13968,msm Support for out-fences,4.9
17439,caam/jr - add support for DPAA2 parts,4.14
18919,IPv6: Add support for multipath selection using hash of 5-tuple,4.17
42645,amdgpu Add panel_power_savings sysfs entry to eDP connectors,6.9
31239,host1x Show number of pending waiters in debugfs,5.13
14246,extcon: Add the support for the capability of each property,4.9
14332,"crypto layer: Add asynchronous compression API. The Asynchronous Compression API is used with the algorithms of type CRYPTO_ALG_TYPE_ACOMPRESS (listed as type ""acomp"" in /proc/crypto)",4.10
31817,VBOXSF vboxsf: Add support for the atomic_open directory-inode op,5.14
6863,SCSI lpfc: Addition of SLI4 Interface     add 10G link support  persistent Vport Support  add support for Target Reset handler entrypoint,2.6.31
40658,perf vendor events arm64: Add AmpereOne metrics,6.6
36842,,6.1
21396,virtio-net: ethtool configurable LRO,5.0
34286,igc: enable XDP metadata in driver,5.17
9763,,3.12
4714,IA64 regset: 32-bit support,2.6.26
1496,Hotplug parallel ports,2.6.12
38785,ASoC remove unused davinci support,6.3
1139,ACPI: create ACPI hotplug eject interface,2.6.11
6316,PPC More stack randomisation for 64bit binaries,2.6.30
19053,S390 Report spectre mitigation via syslog,4.17
37438,hisilicon: Add support for hisi dma driver,6.1
36590,panel simple: add AM-800600P5TMQW-TB8H,6.0
32724,AMD Add ID for beige goby,5.15
23428,ARM64 specific changes ptrace: add support for syscall emulation  and,5.3
44444,(FEATURED) Smaller (and better laid out) struct file Remove f_version,6.12
22648,Improve vmap allocation,5.2
13630,potentiometer: mcp4531: Add support for MCP454x MCP456x MCP464x and MCP466x,4.8
419,TG3: Add more ethtool -S stats.,2.6.7
23604,allegro: add Allegro DVT video IP core driver,5.3
7760,m68knommu: add uboot commandline argument passing support,2.6.33
44467,autofs: add per dentry expire timeout,6.12
13864,ARM ARMv7M cache maintanence support,4.9
20460,r8169: add support for NCube 8168 network card,4.19
26678,hns3 Add enabled TC numbers and DWRR weight info in debugfs,5.7
30431,ice Implement a new LLDP command that allows adding VSI destinations to existing filters and adds support for netdev bonding event,5.12
7321,ems_usb: Added support for EMS CPC-USB/ARM7 CAN/USB interface,2.6.32
7043,,2.6.32
38472,Qualcomm Ramp Controller and MSM8976 config,6.3
5512,S390 ptrace changes,2.6.28
12748,Nouveau (nvidia) Use GPU-provided topology information should fix some issues,4.7
3147,tgafb: support the  visual,2.6.21
27703,tegra: Support dynamic clock frequency configuration,5.8
18580,ASoC Intel: Skylake: Add extended I2S config blob support in Clock driver,4.16
37347,typec: tcpci_mt6370: Add MediaTek MT6370 tcpci driver,6.1
37551,BTRFS Skip updates of block group items if used bytes are the same,6.2
34627,F2FS Support idmapped mounts,5.18
9107,Hyper-V hvc_xen: implement multiconsole support,3.4
8449,Add a target to use the Coccinelle checker (Recommended LWN article: ),2.6.36
23642,ath10k Add PN replay protection for high latency devices,5.3
2270,Add support for the Nokia ca42 version 2 cable to the cypress_m8 driver,2.6.17
1210,emac: allow rx of the maximum sized VLAN tagged packets,2.6.11
38883,power reset: add Odroid Go Ultra poweroff driver,6.3
5576,wistron - add support for Fujitsu-Siemens Amilo Pro v3505,2.6.28
467,NETFILTER: Add realm match,2.6.8
13169,Infiniband Introduce some new objects and verbs in order to allow verbs based solutions to utilize the RSS offload capability which is widely supported today by many modern NICs. It extends the IB and uverbs layers to support the above functionality,4.8
42346,io_uring Export SQPOLL utilization stats,6.9
32987,mediatek: add tick_delay support,5.15
24925,Bluetooth hci_qca: Add support for Qualcomm Bluetooth SoC WCN3991,5.5
9703,Allow file data clone within a file,3.11
36890,(FEATURED) Add Maple Tree,6.1
5073,task IO accounting: provide distinct tgid/tid I/O statistics,2.6.27
8930,vmscan: add block plug for page reclaim to reduce lock contention,3.2
40537,devlink: introduce selective dumps,6.6
28520,irq: irq-mst: Add MStar interrupt controller support,5.10
19124,imx074: deprecate move to staging,4.17
11303,ixgbe: Add support for entering low power link up state,4.3
43597,firewire: add tracepoints events for asynchronous communication,6.10
3171,Add power management support  and better ethtool support for kaweth,2.6.21
29407,Bluetooth Add toggle to switch off interleave scan,5.11
13769,CIFS Add mount parameter to allow user to override max credits,4.9
13227,Device Tree sources NSP: Add new DT file for bcm958625hr,4.8
32424,mailbox qcom: Add MSM8939 APCS support,5.14
1850,Add list_for_each_entry_safe_reverse(),2.6.16
23129,max77620: Support Maxim 77663,5.2
40993,peci/cputemp: Add Intel Sapphire Rapids support,6.6
7816,sky2: 88E8059 support  add SK-9E21M device id,2.6.33
10976,,4.3
2501,add AMBA CLCD support in lpd7a40x,2.6.18
8381,mac80211 (wireless stack) Allow controlling aggregation manually in debugfs,2.6.35
31792,BTRFS Preemptive flushing improvements: adjust clamping logic on multi-threaded workloads to avoid flushing too soon; take into account global block reserve may help on almost full filesystems; and continue flushing when there are enough pending delalloc and ordered bytes),5.14
37251,wifi ath11k: Add support to connect to non-transmit MBSSID profiles,6.1
12111,KVM: Add support for multiple-TCE hypercalls for user space emulated devices such as IBMVIO devices or emulated PCI. These calls allow adding multiple entries (up to 512) into the TCE table in one call which saves time on transition between kernel and user space,4.6
6304,pxa Palm T5 initial support,2.6.30
6976,comedi: add vmk80xx USB driver,2.6.31
31070,TI AM64x Sita4ra a new version of the K3 SoC family for industrial control motor control remote IO IoT gateway etc. similar to the older AM65x family,5.13
33354,ARM64 Enable nitro enclaves,5.16
22129,Use generic spinlock/rwlock implementation,5.1
30429,i40e Extend support for ntuple filters allowing for Flow Director IPv6 and VLAN filters,5.12
44234,phy: aquantia: add support for PHY LEDs,6.11
6916,Add dm355evm_keys driver,2.6.31
6601,Btrfs Add mount -o ssd_spread to spread allocations out,2.6.31
25792,Add AMD-TEE driver. The AMD-TEE driver handles the communication with AMD's TEE environment. The TEE environment is provided by AMD Secure Processor. The AMD Secure Processor (formerly called Platform Security Processor or PSP) is a dedicated processor that features ARM TrustZone technology along with a software-based Trusted Execution Environment (TEE) designed to enable third-party Trusted Applications. This feature is currently enabled only for APUs,5.6
15689,AVR32 Remove support for AVR32 architecture,4.12
35594,hda/tegra: Enable Jack poll for tegra,5.19
13445,phy: micrel: Add KSZ8041FTL fiber mode support,4.8
43068,Improved Memory Tier Creation for CPUless NUMA Nodes,6.10
30810,bus: sunxi-rsb: Implement runtime power management,5.12
41495,Add I2S support for the StarFive JH7110 SoC,6.7
22203,xgifb: delete the driver,5.1
40457,Folio conversion secretmem: use a folio in secretmem_fault(),6.6
8246,AZ6027: Initial import of the driver,2.6.34
29629,hns3 Add support for tc mqprio offload hw tc offload of tc flower and adpation for max rss size,5.11
41685,zswap: make shrinking memcg-aware,6.8
41357,amdgpu DC Patches August 23 2023 (new debugfs interface to query the current ODM combine configurations support for windowed MPO ODM),6.7
28930,media: zoran: restore deprecated driver,5.10
28269,amdgpu SI UVD/VCE support,5.9
6595,printk: add support of hh length modifier for printk,2.6.31
10746,"Add a new call chain recording option ""lbr"" (--call-graph lbr) into the perf tool to get the call stack information from hardware",4.1
29010,iwlwifi Add support for new version of WOWLAN_TKIP_SETTING_API_S,5.10
5979,enic: enable ethtool LRO support,2.6.29
44795,v3d Expose memory stats through fdinfo,6.12
31299,hns Add support for XRC on HIP09,5.13
36191,scsi: mpi3mr: Add bsg device support,5.19
14323,vCPU preemption support: add an interface to query the preemption status of vCPUs and use it in locking primitives - this optimizes paravirt performance,4.10
7229,SH Add ftrace syscall tracing support,2.6.32
19819,liquidio Enhanced ethtool --set-channels feature,4.18
36488,ARM64 perf c2c: Support data source and display for Arm64,6.0
43436,intel_ace2x: read DOAIS and DODS from _DSD properties,6.10
37607,BPF (FEATURED) Support for user defined BPF objects: the use case is to allocate own objects build own object hierarchies and use the building blocks to build own data structures flexibly for example linked lists in BPF,6.2
10618,UBIFS Add xattr support for symlinks,4.0
19890,ASoC rt5640: Add jack-detect support,4.18
8922,Btrfs Allow to mount -o subvol=path/to/subvol/you/want relative from the normal fs_tree root,3.2
19883,ASoC mediatek: add MT7622 AFE support,4.18
32930,ASoC: Add Vangogh ACP ASoC driver,5.15
9359,modules: add syscall to load module from file descriptor. Contributed by Chrome OS who wants to be able to enforce that kernel modules are being loaded only from their read-only crypto-hash verified (dm_verity) root filesystem. Related LWN article:,3.8
3365,Use ktime as clocksource which provides nanosecond timestamping support  introduce SIOCGSTAMPNS ioctl to get timestamps with nanosec resolution  add SO_TIMESTAMPNS / SCM_TIMESTAMPNS socket option  export real timer resolution in /proc/net/psched,2.6.22
1152,"libata: sata_uli: add 5281 support,fix SATA phy setup for others",2.6.11
26626,AHCI Add Intel Comet Lake H RAID PCI ID,5.7
39626,MediaTek MT8188 clock support,6.4
24059,Sound Open Firmware Intel: initial support for Tiger Lake,5.4
25785,Device Tree Sources: New boards Add Thor96 board from Einfochips. This board is one of the 96Boards Consumer Edition platform powered by the NXP i.MX8MQ SoC,5.6
17415,altera: Add Altera I2C Controller driver,4.14
2818,add serial mos7720 driver,2.6.19
10056,net-gre-gro: Add GRE support to the GRO stack,3.14
36718,usb-audio: Turn off 'manual mode' on Dell dock,6.0
36289,hugetlb: support write-faults in shared mappings,6.0
32762,panel simple: Allow panel-simple be a DP AUX endpoint device,5.15
619,NET: Device mtu/txqlen/ifmap via rtnetlink.,2.6.9
19024,KVM Expose SPEC_CTRL Bit(2) to the guest,4.17
20462,r8169: remove TBI 1000BaseX support,4.19
10119,,3.15
28308,backlight generic_bl: Remove this driver as it is unused,5.9
27155,TCP: Implement SACK compression,5.8
34795,HID apple: Add necessary IDs and configuration for T2 Macs,5.18
23686,iwlwifi Add new cards for 9000 and 20000 series,5.3
18487,ath10k Handle tdls peer events,4.16
8754,Add compression options support to xz decompressor,2.6.39
20615,mlxreg-fan: Add support for Mellanox FAN driver,4.19
6465,tvaudio: add tda9875 support.,2.6.30
27547,ptp: Add adjust_phase to ptp_clock_caps capability,5.8
39271,KVM Userspace SMCCC call filtering,6.4
6448,Add driver for Intel CE6230 DVB-T USB2.0,2.6.30
41836,RISCV Implement archrandom when Zkr is available,6.8
33688,rcar-vin: Add r8a779a0 support,5.16
31106,Hardware support mediatek: pwrap: add pwrap driver for MT6873/8192 SoCs,5.13
21567,nouveau Add size to vbios.rom file in debugfs,5.0
27069,Add support for Inline Encryption to the block layer. Inline Encryption hardware allows software to specify an encryption context (an encryption key crypto algorithm data unit num data unit size etc.) along with a data transfer request to a storage device and the inline encryption hardware will use that context to en/decrypt the data. The inline encryption hardware is part of the storage device and it conceptually sits on the data path between system memory and the storage device,5.8
13872,device tree sources bcm2835: Add Raspberry Pi Zero,4.9
22250,iwlwifi Introduce device family AX210,5.1
42780,hda: cs35l41: Support additional HP Envy Models,6.9
44203,can dsa: vsc73xx: Make vsc73xx usable,6.11
29788,imx21-hcd: Remove the driver,5.11
5551,ath9k: Add LED support  add RF kill support  allow AP mode to be enabled,2.6.28
27238,coresight Add CPU power management for CPU bound CTI devices,5.8
16972,BPF Add new jump instructions () to eBPF in order to reduce register pressure by avoiding } rewrites and result in shorter BPF programs less stack usage and less verification complexity,4.14
31039,Netfilter Augment the Netfilter flowtable fastpath to support for network topologies that combine IP forwarding bridge classic VLAN devices bridge VLAN filtering DSA and PPPoE. This includes support for the flowtable software and hardware datapaths,5.13
30272,Improve the stacktrace report,5.12
40948,pci: intel: Add IVSC support for IPU bridge driver,6.6
28838,amdgpu powerplay: Support for gpu metrics export,5.10
14308,perf sched timehist (FEATURED),4.10
17357,power/supply: Add support for MAX1721x standalone fuel gauge,4.14
12658,device tree sources qcom: ipq4019: Add basic board/dts support for IPQ4019 SoC,4.7
28717,coresight: etm4x: Add Support for HiSilicon ETM device,5.10
38926,adc: add ADC driver for the TI LMP92064 controller,6.3
6758,Atmark Armadillo 500 board support.,2.6.31
938,Add Edirol UA-25 support,2.6.10
37612,BPF Add bpf_rcu_read_lock() support,6.2
8689,,2.6.39
1093,ppc32: Marvell host bridge support (mv64x60),2.6.11
4,SELinux: Add signal state inheritance control,2.6.1
33140,Btrfs Zoned namespace Support,5.16
13583,regulator rn5t618: Add RN5T567 PMIC support,4.8
27860,ext4 Block bitmap prefetching,5.9
37730,Remove dm355evm_msp driver,6.2
28858,amdgpu amdkfd: Add GPU reset SMI event,5.10
44697,S390 hiperdispatch: Add hiperdispatch sysctl interface,6.12
29699,ASoC SOF: Intel: initial support for !Alderlake-S,5.11
4500,NAND Freescale enhanced Local Bus Controller FCM NAND support.,2.6.25
31857,perf perf header: Support HYBRID_TOPOLOGY and HYBRID_CPU_PMU_CAPS,5.14
32420,interconnect: qcom: Add SC7280 interconnect provider driver,5.14
42885,adc: adding support for Microchip PAC193X Power Monitor,6.9
42068,hda/realtek: Enable mute/micmute LEDs and limit mic boost on HP ZBook,6.8
29818,nvmem: remove nvram ABI,5.11
29347,null_blk: Allow controlling max_hw_sectors limit to allow configuring the maximum size of a command issued,5.11
16673,ov13858: add support for OV13858 sensor,4.13
24930,aquantia: PTP support for AQC devices,5.5
30972,BPF Add bpf_skb_adjust_room flag BPF_F_ADJ_ROOM_ENCAP_L2_ETH,5.13
41197,PMU performance improvements,6.7
1990,cmipci,2.6.16
39612,fxl6408: add I2C GPIO expander driver,6.4
17306,cec-pin: add low-level pin hardware support,4.14
38556,lib/zlib: Set of s390 DFLTCC related patches for kernel zlib,6.3
43016,XFS Add Parent Pointers attributes to each inode. The attribute name containing the parent inode generation and directory offset while the  attribute value contains the file name. This feature will enable future optimizations for online scrub shrink nfs handles verity or any other feature that could make use of quickly deriving an inodes path from the mount point,6.10
1481,USB: add 'distrust_firmware' option to ohci,2.6.12
3955,PPC Use 1TB segments for all kernel mappings and for user addresses of 1TB and above on machines which support them (currently POWER5+ POWER6 and PA6T),2.6.24
26504,KVM: Removing support for 32-bit KVM/arm host,5.7
18219,perf script Add support to display sample misc field,4.16
37204,mlx5 xsk updates,6.1
2313,Add support for the 4th port and other new features of the BCM1480 SOC,2.6.17
35316,Intel Async flip optimisation for DG2,5.18
25316,iommu: arm-smmu-impl: Add sdm845 implementation hook,5.5
18743,qcom: ipq8074: add NSS clocks,4.16
3563,Block layer Replace SG v3 with SG v4 (except for SG_IO),2.6.23
19855,nfp flower tc block support,4.18
37817,ptp ocp: add serial port of mRO50 MAC on ART card,6.2
44613,ipe: allow secondary and platform keyrings to install/update policies,6.12
5798,DCB Add interface to query for the DCB capabilities of an device.,2.6.29
33209,BPF Support uniform BTF-defined key/value specification across all BPF maps,5.16
22512,ioatdma: support latency tolerance report (LTR) for v3.4,5.1
7532,I2C Remove deprecated pca9539 driver,2.6.32
40565,Introduce Intel Tangier pinctrl driver,6.6
15436,,4.12
30543,cros-ec-keyb: expose function row physical map to userspace,5.12
22538,Add Cadence D-PHY support,5.1
4919,leds: Add support to leds with readable status,2.6.26
16874,,4.14
39772,Amiga RDB partition support fixes,6.5
6350,AVR32 Add support for Merisc boards,2.6.30
3828,LCD panel support for the TI OMAP H3 board  Palm Zire71  TI OMAP1510 Innovator board  Palm Tungsten E  Epson HWA742 LCD controller support  TI OMAP1610 Innovator board  Palm Tungsten|T  TI OMAP H4 board  Siemens SX1 mobile phone  TI OMAP OSK board  RFBI  Epson Blizzard LCD controller support  SoSSI,2.6.23
22017,perf perf script: Make the  filter apply to  events in addition to,5.1
20088,driver core: Add a debugfs entry to show deferred devices,4.19
8568,Add interface to advertise ext4 features in sysfs,2.6.37
304,task scheduler: improve wakeup-affinity,2.6.7
11063,bonding: add netlink support for the sysfs attribute tlb_dynamic_lb,4.3
18167,drivers: component: add debugfs support,4.16
22472,adc: Add the TI ads124s08 ADC code,5.1
5517,Xtensa Add support for the Sonic Ethernet device for the XT2000 board.,2.6.28
27193,smc Extent buffer mapping and port handling,5.8
1526,target code updates to support scanned targets,2.6.12
13217,(FEATURED) TCP: add TCP NV congestion control a follow up to TCP Vegas. It has been modified to deal with 10G networks measurement noise introduced by LRO GRO and interrupt coalescence. In addition it will decrease its cwnd multiplicatively instead of linearly. For further details see,4.8
3318,M68K Runtime patching infrastructure,2.6.22
32443,,5.15
19041,POWERPC 64s: Add support for a store forwarding barrier at kernel entry/exit,4.17
25015,mlx5 netfilter flowtable hardware offload support,5.5
36316,perf Rewrite jevents program in python,6.0
20660,drivers: qcom: rpmh-rsc: add RPMH controller for QCOM,4.19
2440,Add support for the MMC/SD card interface on the Atmel AT91RM9200 processor,2.6.17
7800,wl1251: add support for PG11 chips  add connection monitoring configuration  enable beacon filtering with the stack  enable power save  added support to scan on 5 GHz band  increase TX power value  multicast filtering configuration  support for IPv4 ARP filtering,2.6.33
