mention_id	original_mention	overall_linkable	ngram_linkable	overall_wikipedia_link	ngram_wikipedia_link
86	page_add_file_rmap()	False	True		[{'ngram_mention': 'page_add_file_rmap()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory_management'}, {'ngram_mention': 'page_add_file_rmap()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/File_system'}, {'ngram_mention': 'page_add_file_rmap()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory_mapping'}, {'ngram_mention': 'page_add_file_rmap()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory-mapped_file'}]
87	page flags	False	True		[{'ngram_mention': 'page flags', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_replacement_algorithm'}]
88	heap spraying prevention	False	True		[{'ngram_mention': 'heap spraying prevention', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Heap_spraying'}, {'ngram_mention': 'heap spraying prevention', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Address_space_layout_randomization'}]
89	Unsharing KSM-placed zero pages	False	True		[{'ngram_mention': 'Unsharing KSM-placed zero pages', 'wikipedia_link': 'https://en.wikipedia.org/wiki//dev/zero'}, {'ngram_mention': 'Unsharing KSM-placed zero pages', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Zero-copy'}, {'ngram_mention': 'Unsharing KSM-placed zero pages', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Kernel-based_Virtual_Machine'}]
90	gup	False	False		[]
91	__split_huge_page_tail()	False	True		[{'ngram_mention': '__split_huge_page_tail()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_(computer_memory)#Multiple_page_sizes'}]
92	Setting up N page table entries at once	False	True		[{'ngram_mention': 'Setting up N page table entries at once', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_table'}, {'ngram_mention': 'Setting up N page table entries at once', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Translation_lookaside_buffer'}, {'ngram_mention': 'Setting up N page table entries at once', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Kernel_page-table_isolation'}, {'ngram_mention': 'Setting up N page table entries at once', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Intel_5-level_paging'}, {'ngram_mention': 'Setting up N page table entries at once', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Physical_Address_Extension'}]
93	Retrieving monitoring results snapshot	False	True		[{'ngram_mention': 'Retrieving monitoring results snapshot', 'wikipedia_link': 'https://simple.wikipedia.org/wiki/Monitoring'}, {'ngram_mention': 'Retrieving monitoring results snapshot', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Change_data_capture'}]
94	jbd2_journal_write_metadata_buffer	False	True		[{'ngram_mention': 'jbd2_journal_write_metadata_buffer', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Journaling_block_device'}]
95	ARM architecture	True	False	https://en.wikipedia.org/wiki/ARM_architecture_family	[]
96	FOLL_PIN	False	True		[{'ngram_mention': 'FOLL_PIN', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Virtual_memory#Pinned_pages'}]
97	update_mmu_cache_range	False	True		[{'ngram_mention': 'update_mmu_cache_range', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory_management_unit'}]
98	FSCACHE_COOKIE_NO_DATA_TO_READ	False	True		[{'ngram_mention': 'FSCACHE_COOKIE_NO_DATA_TO_READ', 'wikipedia_link': 'https://en.wikipedia.org/wiki/CacheFS'}]
99	free table page	False	True		[{'ngram_mention': 'free table page', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_table'}]
100	mmap_write_lock()	False	True		[{'ngram_mention': 'mmap_write_lock()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Mmap'}, {'ngram_mention': 'mmap_write_lock()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Readers%E2%80%93writer_lock'}, {'ngram_mention': 'mmap_write_lock()', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory-mapped_file'}]
101	pmd_t	False	False		[]
102	nan	False	False		[]
103	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': '部分链接数：'}, {'ngram_mention': 'nan', 'wikipedia_link': '20个'}]
104	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Mmap'}]
105	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Readers%E2%80%93writer_lock'}]
106	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory-mapped_file'}]
107	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_table'}]
108	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/CacheFS'}]
109	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Memory_management_unit'}]
110	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Virtual_memory#Pinned_pages'}]
111	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Journaling_block_device'}]
112	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_(computer_memory)#Multiple_page_sizes'}]
113	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Kernel-based_Virtual_Machine'}]
114	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Heap_spraying'}]
115	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Overhead_(computing)'}]
116	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_table#PTE'}]
117	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Virtual_memory'}]
118	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Non-uniform_memory_access'}]
119	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_fault'}]
120	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/OpenRISC'}]
121	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Seek_(computing)'}]
122	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Page_(computer_memory)#Huge_pages'}]
123	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Slab_allocation'}]
124	nan	False	True		[{'ngram_mention': 'nan', 'wikipedia_link': 'https://en.wikipedia.org/wiki/Cache_coherence'}]
